gene_id	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
ENSG00000170500	1.295722	1.345369	0.463124	0.082288	0.196739	0.089879
ENSG00000170577	418.31781	414.974708	373.362727	435.774351	387.048806	388.840639
ENSG00000170634	274.829125	265.405882	270.52902	239.810398	199.14388	205.080604
ENSG00000170745	0	0	0.201776	0.268461	0.397325	0.197562
ENSG00000170802	181.828134	188.957361	218.657468	223.260891	237.829724	243.01241
ENSG00000170820	0	0	0	0	0	0
ENSG00000171055	787.868252	830.141743	829.553756	841.742628	840.428854	900.491401
ENSG00000171094	0.219665	0	0.305475	0	0	0.275138
ENSG00000171103	377.934289	376.620753	390.138363	438.594139	410.567925	471.950795
ENSG00000171126	10.575162	9.719936	7.973998	10.223026	10.680389	10.702894
ENSG00000171132	51.351729	50.372032	55.989703	40.249711	52.20011	39.273263
ENSG00000171150	351.367153	335.148457	371.409282	317.603795	368.66422	331.765136
ENSG00000171174	124.238831	118.167823	134.713692	62.500265	49.693384	60.38522
ENSG00000171227	267.623809	200.794192	274.602141	246.925701	221.034	244.549329
ENSG00000171303	5.435658	8.148783	5.35971	7.639151	6.742907	6.626037
ENSG00000171450	0.232709	1.165921	1.241691	0	0.407132	0
ENSG00000171551	2977.490041	2680.537774	2752.232042	3455.683727	3466.516232	3294.820523
ENSG00000171596	0	0	0	0.309466	0.149271	0.163535
ENSG00000171848	3227.656156	3425.180891	2994.104405	2985.259315	2957.344642	2848.557146
ENSG00000171853	111.615972	165.792723	165.545547	237.917602	259.454461	245.832236
ENSG00000171863	24941.239455	24685.382945	24272.38138	24321.026624	24058.262337	24050.139618
ENSG00000171865	543.241937	545.646639	521.243247	552.012626	535.130745	485.404248
ENSG00000171951	43.082965	56.097921	41.72753	33.604464	44.978635	24.612897
ENSG00000172005	1.668474	0	0.665197	0	0	1.238651
ENSG00000172016	0	0	0	0	0	0
ENSG00000172023	0	0	0	0	0	0
ENSG00000172059	247.62799	248.691995	231.064478	232.997806	226.996429	207.029229
ENSG00000172071	186.33236	194.715106	199.92399	155.116075	152.982997	158.461522
ENSG00000172073	0	0.695232	0.714962	0	0	0
ENSG00000172086	105.016636	126.532917	107.801073	20.158104	27.013849	24.725532
ENSG00000172116	0	0	0	0	0	0
ENSG00000172292	0	0	0	0	0	0
ENSG00000172318	2.741438	2.561769	1.65678	1.952712	2.845702	2.597368
ENSG00000172428	2108.752271	1964.945359	2261.056896	2208.810556	2355.484195	2299.519494
ENSG00000172478	4.268058	4.701221	7.8032	3.408888	4.077257	3.624083
ENSG00000172482	3.15515	2.391028	5.937408	1.042513	2.696992	1.451755
ENSG00000172554	0	0	0	0	0	0
ENSG00000172799	6.598127	6.600918	6.839	2.027929	3.896111	0
ENSG00000172845	1032.864336	936.903915	1037.14624	899.449715	965.65795	977.635892
ENSG00000172878	121.291064	138.222859	135.388617	144.591587	124.772709	135.304784
ENSG00000172954	558.611655	583.445696	519.737844	638.963648	647.880867	679.950168
ENSG00000172974	827.453685	777.699856	906.724484	726.489753	755.930926	767.563749
ENSG00000172985	44.860453	39.79208	42.05485	39.260767	40.57353	37.148835
ENSG00000173163	557.658389	499.886694	612.410451	513.819301	440.303517	517.181299
ENSG00000173166	327.645706	340.93914	354.568592	232.272451	236.752584	222.605253
ENSG00000173209	195.726726	194.353217	233.527204	195.647336	281.704465	233.232856
ENSG00000173272	1521.642625	1576.975282	1503.852896	1463.366579	1456.710968	1312.42824
ENSG00000173302	0	0	0	0	0	0
ENSG00000173349	75.465089	67.859511	79.301631	77.159434	93.763582	80.235338
ENSG00000173557	0	0	0.239905	0	0	0
ENSG00000173559	355.311625	291.217143	329.168003	238.393309	231.82668	240.712503
ENSG00000173567	0.319315	0.816797	2.510468	6.026412	11.452045	0.149893
ENSG00000173692	1931.555961	1772.774651	1805.034884	1968.906785	1890.590167	1870.318532
ENSG00000173699	0	0	0	0	0	0
ENSG00000173744	818.947808	741.916242	720.257402	797.566442	796.521553	754.351939
ENSG00000173960	281.504786	292.227341	337.859107	296.916615	323.440114	353.782664
ENSG00000174279	0	0	0	0	0	0
ENSG00000174453	0	0	0	0	0	0
ENSG00000174501	39.413955	36.884302	54.368113	32.976206	43.643293	46.617387
ENSG00000175084	32.458457	39.118905	51.579674	19.272226	26.74629	29.220188
ENSG00000175497	0.348744	0.342353	0	0	0.118322	0
ENSG00000175509	0	0	0	0	0	0
ENSG00000175701	275.488859	337.887613	263.568494	218.351594	181.066334	186.586172
ENSG00000175874	188.930557	218.774102	249.707936	225.147196	182.828783	221.269232
ENSG00000175879	21.242595	17.708622	19.129701	28.247552	27.538573	28.952588
ENSG00000176204	2.89824	4.002534	2.110838	3.642062	0.188672	4.346401
ENSG00000176407	1753.381177	1905.824192	1710.097867	1743.212962	1702.510097	1697.654445
ENSG00000176601	0	0	0	0	0	0
ENSG00000176714	21.819967	27.338802	26.321462	23.752912	25.62185	23.298131
ENSG00000176720	125.613357	131.740476	134.470459	110.621202	96.038492	103.818613
ENSG00000176732	4.889363	1.278717	3.716533	2.46791	4.430153	1.283528
ENSG00000176771	0.5561	0	0.484005	0.386566	0.122829	0.235467
ENSG00000176887	0	0	0	0	0	0
ENSG00000176946	552.573161	569.50754	517.177473	552.326831	540.977023	544.91134
ENSG00000177261	0	0	0	0	0	0
ENSG00000177483	6.935291	7.693333	7.151437	9.55463	8.752382	4.417218
ENSG00000177519	5.432871	2.278933	4.365423	22.102305	19.265875	14.676099
ENSG00000177673	0	0	0	0	0	0
ENSG00000177855	171.972318	151.113479	241.950471	214.109047	245.81247	280.578882
ENSG00000177917	496.182603	510.670346	557.90771	516.982811	544.076519	595.889301
ENSG00000177994	0.586075	2.189789	1.685802	0.534971	0	1.686085
ENSG00000178021	0	0	0	0	0	0
ENSG00000178074	192.718232	192.788178	194.698972	206.893223	227.763349	192.742726
ENSG00000178162	0	0	0	1.932256	1.828527	0
ENSG00000178171	0.152811	0.082427	0.077046	0.136214	0	0.071579
ENSG00000178295	207.811049	220.369548	217.782647	224.442782	228.898722	216.856954
ENSG00000178385	20.403004	26.793531	24.895034	20.516877	21.066525	32.209528
ENSG00000178562	0	0	0	0	0	0
ENSG00000178568	0	0	0.063246	0.228989	0	0
ENSG00000178586	0	0	0	0.394713	0.354276	0.793331
ENSG00000178602	0	0	0	0	0	0
ENSG00000178623	3.213952	5.317233	3.289366	0.587597	0.761718	0.790023
ENSG00000178662	0	0	0.067516	0	0	0
